day,trial,led_on_time_s,arrival_time_s,delay_s
1,1,46.48,46.48,0
1,2,75.13,75.14,0.01
1,3,117.66,117.65,-0.01
1,4,143.23,143.21,-0.02
1,5,185.74,185.75,0.02
1,6,225.15,225.16,0.01
1,7,267.84,267.83,-0.01
1,8,296.4,296.4,-0.01
1,9,335.02,335.03,0.01
1,10,363.57,363.56,-0.01
1,11,394.06,394.06,0
1,12,410.49,410.48,-0.01
1,13,440.08,440.07,-0.01
1,14,458.61,458.62,0.01
1,15,480.19,480.18,-0.01
2,1,33.44,33.43,-0.01
2,2,60.09,60.09,0
2,3,81.65,81.65,0
2,4,114.23,114.25,0.01
2,5,143.84,143.84,0.01
2,6,188.43,188.42,-0.01
2,7,226,225.99,-0.01
2,8,248.58,248.58,0
2,9,287.13,287.12,-0.01
2,10,323.67,323.66,-0.01
2,11,348.24,348.25,0
2,12,377.75,377.74,-0.01
2,13,400.31,400.3,-0.01
2,14,437.97,nan,nan
2,15,479.6,nan,nan
3,1,29.52,29.53,0.01
3,2,50.1,50.08,-0.02
3,3,84.67,84.65,-0.02
3,4,100.23,100.23,0.01
3,5,139.74,139.74,0
3,6,163.33,163.33,0
3,7,187.9,187.89,-0.02
3,8,211.45,211.44,-0.01
3,9,231.07,231.06,-0.01
3,10,259.62,259.63,0
3,11,276.19,276.21,0.01
3,12,302.75,302.74,-0.01
3,13,347.28,347.28,0
3,14,390.82,390.82,0
3,15,433.32,433.33,0.01
4,1,45.45,45.45,-0.01
4,2,85.06,85.05,-0.01
4,3,113.61,113.61,0
4,4,156.17,156.16,-0.01
4,5,195.7,195.7,0
4,6,223.34,223.32,-0.01
4,7,240.9,240.91,0.01
4,8,280.56,280.55,-0.01
4,9,302.08,302.07,-0.01
4,10,340.64,340.64,0
4,11,366.21,366.2,-0.01
4,12,386.68,386.69,0
4,13,410.19,410.18,-0.01
4,14,428.78,428.76,-0.02
4,15,453.35,453.35,0
5,1,40.5,40.51,0.01
5,2,83.2,83.18,-0.01
5,3,118.66,118.65,-0.01
5,4,164.11,164.1,-0.01
5,5,202.64,202.64,0
5,6,233.27,233.27,0
5,7,258.85,258.86,0.01
5,8,275.26,275.28,0.01
5,9,310.86,310.84,-0.01
5,10,336.37,336.37,0
5,11,376.03,376.04,0.01
5,12,407.57,407.57,0.01
5,13,451.04,451.05,0.01
5,14,486.55,486.55,0.01
5,15,507.04,nan,nan
6,1,43.48,43.48,-0.01
6,2,67.08,67.07,-0.01
6,3,91.71,91.69,-0.01
6,4,124.25,124.26,0.01
6,5,147.83,147.81,-0.01
6,6,166.41,166.4,-0.01
6,7,200,200,0
6,8,238.56,238.57,0.01
6,9,280.12,280.11,0
6,10,302.54,302.54,-0.01
6,11,347.09,347.08,-0.01
6,12,375.58,375.58,-0.01
6,13,410.84,410.84,0
6,14,439.38,439.37,-0.01
6,15,469.82,nan,nan
