day,trial,led_on_time_s,arrival_time_s,delay_s
1,1,38.4589016,38.47176666666667,0.012865066666670089
1,2,61.9837264,61.995266666666666,0.011540266666663967
1,3,84.5695873,84.5845,0.014912700000010659
1,4,124.084644,124.09063333333333,0.00598933333333207
1,5,162.5507951,162.5624,0.01160490000000891
1,6,188.0361377,188.02116666666666,-0.014971033333353034
1,7,209.5792843,209.57603333333333,-0.0032509666666840076
1,8,231.1297044,231.1309,0.001195599999988417
1,9,255.6480239,255.65540000000001,0.007376100000016095
1,10,291.2092006,291.22426666666667,0.015066066666690858
1,11,319.7411116,319.7527666666667,0.011655066666662606
1,12,341.2514421,341.2409,-0.010542100000009214
1,13,369.8463882,369.83613333333335,-0.010254866666628004
1,14,396.4011429,396.396,-0.005142900000009831
1,15,425.790104,425.79203333333334,0.001929333333350769
2,1,36.4911544,36.50313333333333,0.011978933333331554
2,2,71.1775221,71.1711,-0.006422100000008868
2,3,115.7431976,115.74896666666667,0.005769066666672984
2,4,154.1969732,154.18736666666666,-0.00960653333333994
2,5,197.8873615,197.89770000000001,0.010338500000017348
2,6,214.3593976,214.34746666666666,-0.01193093333333195
2,7,245.8884072,245.87896666666668,-0.009440533333304302
2,8,267.4085399,267.40046666666666,-0.008073233333334429
2,9,299.8415049,299.8328666666667,-0.008638233333329026
2,10,339.45114,339.4391,-0.012040000000013151
2,11,375.0049072,375.0079666666667,0.0030594666666843295
2,12,403.5641458,403.56983333333335,0.005687533333343708
2,13,428.070373,428.0609666666667,-0.009406333333345174
2,14,471.6627598,471.6712,0.008440199999995457
2,15,487.1915436,nan,nan
3,1,33.4419937,33.4334,-0.008593699999998705
3,2,72.1001012,72.10536666666667,0.005265466666671159
3,3,88.5830897,88.5885,0.005410299999994095
3,4,120.0960653,120.08663333333334,-0.00943196666666779
3,5,155.5976382,155.58876666666666,-0.008871533333348225
3,6,196.1292253,196.12926666666667,4.136666666454403e-05
3,7,220.5405432,220.55366666666666,0.013123466666655759
3,8,260.0824972,260.09316666666666,0.010669466666684002
3,9,299.620658,299.6326666666667,0.012008666666702084
3,10,333.24892,333.23290000000003,-0.01601999999996906
3,11,373.7206346,373.70666666666665,-0.013967933333333349
3,12,407.1698878,407.1734333333333,0.0035455333332947703
3,13,422.740898,422.7556666666667,0.01476866666666865
3,14,441.2246642,441.24080000000004,0.01613580000002912
3,15,461.8080011,461.79466666666667,-0.013334433333341167
4,1,34.5177934,34.501133333333335,-0.01666006666666675
4,2,70.1665202,70.1701,0.003579800000011346
4,3,93.7343947,93.72696666666667,-0.0074280333333263115
4,4,124.2492004,124.25746666666667,0.00826626666666641
4,5,166.8763277,166.8667,-0.009627699999981587
4,6,185.4869002,185.4853,-0.0016002000000128191
4,7,213.0548737,213.04616666666666,-0.008707033333337222
4,8,239.6298929,239.6394,0.00950710000000754
4,9,256.1861296,256.1892666666667,0.003137066666681676
4,10,283.7742686,283.7835,0.00923139999997602
4,11,312.2616143,312.2452666666667,-0.016347633333339218
4,12,357.88052,357.8908666666667,0.010346666666691817
4,13,397.4813482,397.4971,0.015751799999975447
4,14,418.0173534,418.0176,0.0002466000000254098
4,15,453.5061947,453.51973333333336,0.013538633333382677
5,1,45.4592969,45.4454,-0.01389689999999888
5,2,87.0578365,87.05363333333334,-0.004203166666655989
5,3,117.5413629,117.55076666666668,0.009403766666679303
5,4,148.0035237,148.01453333333333,0.011009633333344482
5,5,185.6278785,185.61876666666666,-0.00911183333334975
5,6,221.1984471,221.18763333333334,-0.010813766666672109
5,7,248.6734177,248.68176666666668,0.00834896666668783
5,8,273.2165497,273.2062666666667,-0.0102830333332804
5,9,299.7679835,299.76613333333336,-0.0018501666666566052
5,10,344.2665263,344.27726666666666,0.01074036666665279
5,11,370.8379463,370.8371333333333,-0.0008129666666718549
5,12,403.399443,403.403,0.0035570000000006985
5,13,428.884076,428.8951333333333,0.011057333333326369
5,14,463.424789,463.42963333333336,0.004844333333380746
5,15,480.0341899,nan,nan
6,1,18.4838125,18.485133333333334,0.0013208333333345479
6,2,34.1477925,34.134100000000004,-0.013692499999997665
6,3,76.6461145,76.64323333333334,-0.002881166666654167
6,4,103.1443957,103.13636666666667,-0.008029033333329494
6,5,132.6212286,132.6325,0.011271399999998266
6,6,167.1867317,167.20036666666667,0.013634966666671744
6,7,204.6889884,204.7045,0.015511599999996406
6,8,236.2746772,236.26936666666668,-0.005310533333329204
6,9,273.8679627,273.8736,0.005637299999989409
6,10,301.4460282,301.43446666666665,-0.011561533333349416
6,11,326.9692165,326.9599666666667,-0.009249833333342394
6,12,367.4947105,367.5004666666667,0.005756166666685658
6,13,411.0912957,411.27753333333334,0.18623763333334864
6,14,436.5562259,436.5694666666667,0.013240766666683612
6,15,476.0875274,476.0756,-0.011927399999990485
